id,book_id,bookshelf_id
17772,205,35
17773,210,24
17774,210,7
17775,210,25
17776,210,22
17777,213,27
17778,214,42
17779,215,42
17780,216,15
17781,216,9
17782,216,7
17783,216,43
17784,216,10
17785,217,44
17786,218,15
17787,218,7
17788,219,45
17789,220,7
17790,220,10
17791,222,35
17792,223,34
17793,224,35
17794,226,6
17795,227,45
17796,228,45
17797,228,7
17798,228,19
17799,229,45
17800,229,7
17801,229,13
17802,229,19
17803,230,45
17804,231,45
17805,232,45
17806,235,28
17807,237,46
17808,237,34
17809,237,6
17810,237,10
17811,239,31
17812,242,17
17813,245,35
17814,262,13
17815,263,13
17816,272,7
17817,272,6
17818,273,12
17819,274,12
17820,275,15
17821,275,12
17822,275,19
17823,278,47
17824,279,47
17825,280,47
17826,285,31
17827,286,21
17828,287,31
17829,289,28
17830,290,7
17831,290,6
17832,294,48
17833,297,48
17834,299,31
17835,301,2
17836,303,27
17837,305,42
17838,306,35
17839,308,42
17840,309,7
17841,309,49
17842,316,31
17843,317,6
17844,323,30
17845,328,31
17846,333,4
17847,337,14
17848,338,14
17849,339,14
17850,340,14
17851,341,14
17852,342,50
17853,342,14
17854,343,31
17855,346,24
17856,346,22
17857,346,37
17858,346,10
17859,349,45
17860,350,31
17861,354,31
17862,354,51
17863,361,52
17864,370,21
17865,376,4
17866,376,22
17867,383,53
17868,384,19
17869,385,6
17870,386,54
17871,389,31
17872,390,22
17873,393,15
17874,393,25
17875,399,12
17876,400,48
17877,403,7
17878,403,31
17879,404,31
17880,406,31
17881,409,17
17882,410,17
17883,413,55
17884,418,12
17885,419,12
17886,420,28
17887,420,6
17888,421,28
17889,421,6
17890,422,9
17891,422,30
17892,422,7
17893,422,56
17894,422,6
17895,422,10
17896,435,35
17897,437,28
17898,437,6
17899,441,31
17900,442,40
17901,444,40
17902,445,52
17903,447,57
17904,449,58
17905,450,58
17906,451,15
17907,457,21
17908,461,6
17909,463,48
17910,464,31
17911,464,4
17912,464,30
17913,471,12
17914,472,25
17915,472,30
17916,473,17
17917,478,57
17918,480,6
17919,482,31
17920,485,48
17921,486,28
17922,486,6
17923,487,28
17924,487,6
17925,497,6
17926,499,31
17927,499,6
17928,500,59
17929,502,6
17930,503,54
17931,504,6
17932,507,31
17933,508,15
17934,508,30
17935,509,6
17936,513,24
17937,515,6
17938,518,28
17939,518,6
17940,519,28
17941,519,6
17942,520,26
17943,520,6
17944,521,26
17945,521,6
17946,529,48
17947,530,55
17948,531,48
17949,534,60
17950,539,54
17951,540,55
17952,541,6
17953,542,31
17954,542,10
17955,543,55
17956,544,31
17957,545,6
17958,546,21
17959,548,35
17960,549,47
17961,552,21
17962,553,21
17963,554,21
17964,556,7
17965,558,6
17966,558,46
17967,559,10
17968,559,9
17969,559,37
17970,560,10
17971,560,9
17972,560,51
17973,560,37
17974,561,9
17975,561,34
17976,561,51
17977,561,10
17978,562,7
17979,565,37
17980,572,8
17981,573,61
17982,576,19
17983,580,13
17984,581,7
17985,583,61
17986,584,37
17987,585,18
17988,586,18
17989,587,15
17990,587,19
17991,590,9
17992,590,30
17993,591,55
17994,598,7
17995,598,55
17996,600,30
17997,600,19
17998,602,24
17999,602,7
18000,605,21
18001,605,28
18002,606,21
18003,607,14
18004,608,62
18005,609,15
18006,609,19
18007,611,33
18008,612,9
18009,612,10
18010,613,2
18011,614,2
18012,617,12
18013,618,31
18014,625,21
18015,627,40
18016,629,27
18017,630,27
18018,631,27
18019,632,27
18020,633,27
18021,635,27
18022,636,27
18023,637,58
18024,641,6
18025,642,6
18026,645,26
18027,647,48
18028,653,7
18029,655,12
18030,656,55
18031,660,48
18032,672,48
18033,675,19
18034,677,26
18035,678,63
18036,679,6
18037,681,64
18038,683,27
18039,690,15
18040,690,52
18041,690,19
18042,691,29
18043,697,24
18044,698,6
18045,700,53
18046,700,65
18047,707,41
18048,708,41
18049,709,6
18050,710,6
18051,712,9
18052,712,10
18053,714,58
18054,715,59
18055,719,7
18056,722,6
18057,738,59
18058,745,27
18059,746,27
18060,748,66
18061,755,31
18062,755,65
18063,766,21
18064,767,19
18065,769,24
18066,769,7
18067,769,10
18068,771,6
18069,771,48
18070,772,55
18071,774,34
18072,776,21
18073,779,6
18074,780,19
18075,782,65
18076,793,24
18077,793,7
18078,794,51
18079,795,6
18080,795,48
18081,797,7
18082,797,67
18083,798,68
18084,799,15
18085,799,7
18086,799,67
18087,800,21
18088,800,69
18089,800,67
18090,801,67
18091,802,68
18092,803,68
18093,804,68
18094,805,15
18095,805,7
18096,805,19
18097,808,35
18098,809,15
18099,809,25
18100,810,61
18101,812,19
18102,814,55
18103,826,12
18104,827,12
18105,828,12
18106,829,12
18107,830,15
18108,830,7
18109,831,45
18110,832,28
18111,832,33
18112,833,28
18113,835,35
18114,837,6
18115,837,48
18116,838,48
18117,838,6
18118,841,30
18119,842,13
18120,845,20
18121,848,13
18122,849,9
18123,849,30
18124,849,6
18125,849,10
18126,851,31
18127,853,29
18128,855,20
18129,864,35
18130,865,30
18131,872,45
18132,872,19
18133,874,25
18134,885,58
18135,886,20
18136,888,34
18137,903,6
18138,904,30
18139,905,31
18140,911,9
18141,911,10
18142,918,30
18143,920,29
18144,921,29
20581,7163,42
20582,7166,34
20583,7173,67
20584,7179,31
20585,7185,98
20586,7186,98
20587,7188,133
20588,7189,51
20589,7190,47
20590,7202,102
20591,7203,62
20592,7204,62
20593,7204,101
20594,7205,62
20595,7205,29
20596,7206,62
20597,7206,29
20598,7207,62
20599,7210,59
20600,7223,70
20601,7225,98
20602,7226,98
20603,7229,48
20604,7230,49
20605,7231,48
20606,7232,98
20607,7233,98
20608,7234,83
20609,7236,98
20610,7238,90
20611,7238,31
20612,7238,51
20613,7240,7
20614,7240,98
20615,7242,23
20616,7243,23
20617,7244,23
20618,7245,23
20619,7246,23
20620,7247,23
20621,7248,23
20622,7249,23
20623,7250,23
20624,7251,49
20625,7252,65
20626,7254,119
20627,7256,26
20628,7263,25
20629,7263,67
20630,7264,98
20631,7267,146
20632,7268,67
20633,7269,98
20634,7276,7
20635,7276,98
20636,7277,6
20637,7284,12
20638,7292,98
20639,7297,106
20640,7298,49
20641,7300,100
20642,7303,21
20643,7304,42
20644,7318,30
20645,7318,48
20646,7323,98
20647,7325,13
20648,7334,48
20649,7335,59
20650,7335,99
20651,7343,12
20652,7346,56
20653,7346,48
20654,7350,127
20655,7351,12
20656,7353,83
20657,7353,136
20658,7353,60
20659,7356,59
20660,7356,46
20661,7370,29
20662,7370,2
20663,7384,116
20664,7386,97
20665,7387,30
20666,7401,23
20667,7411,38
20668,7413,97
20669,7423,36
20670,7423,49
20671,7425,104
20672,7425,6
20673,7434,59
20674,7434,6
20675,7435,30
20676,7439,63
20677,7440,107
20678,7440,19
20679,7442,67
20680,7446,147
20681,7447,42
20682,7450,42
20683,7451,75
20684,7452,106
20685,7453,53
20686,7459,148
20687,7461,67
20688,7462,67
20689,7464,49
20690,7471,49
20691,7472,30
20692,7473,21
20693,7477,28
20694,7479,59
20695,7482,92
20696,7488,50
20697,7488,63
20698,7491,45
20699,7492,31
20700,7493,48
20701,7493,14
20702,7494,59
20703,7494,51
20704,7498,59
20705,7498,6
20706,7499,119
20707,7500,105
20708,7500,6
20709,7503,102
20710,7504,4
20711,7506,48
20712,7508,15
20713,7509,42
20714,7511,105
20715,7511,6
20716,7512,105
20717,7512,6
20718,7514,29
20719,7515,31
20720,7515,51
20721,7523,31
20722,7524,45
20723,7524,90
20724,7530,92
20725,7547,4
20726,7624,30
20727,7626,30
20728,7627,30
20729,7628,30
20730,7629,30
20731,7630,30
20732,7635,30
20733,7672,30
20734,7673,30
20735,7674,30
20736,7675,30
20737,7676,30
20738,7677,30
20739,7678,30
20740,7679,30
20741,7680,30
20742,7681,30
20743,7682,30
20744,7683,30
20745,7684,30
20746,7700,15
20747,7700,45
20748,7715,30
20749,7716,30
20750,7717,30
20751,7718,30
20752,7719,30
20753,7720,30
20754,7721,30
20755,7722,30
20756,7723,30
20757,7724,30
20758,7725,30
20759,7726,30
20760,7727,30
18145,927,58
18146,927,16
18147,929,7
18148,929,6
18149,931,70
18150,933,10
18151,939,54
18152,941,30
18153,945,71
18154,945,19
18155,948,72
18156,949,29
18157,950,59
18158,951,59
18159,952,59
18160,953,59
18161,954,59
18162,955,59
18163,956,28
18164,956,6
18165,957,28
18166,957,6
18167,958,28
18168,958,6
18169,959,28
18170,960,28
18171,961,28
18172,961,6
18173,962,28
18174,962,6
18175,965,28
18176,966,30
18177,967,30
18178,969,7
18179,972,29
18180,973,16
18181,973,49
18182,974,56
18183,975,37
18184,976,29
18185,977,6
18186,982,13
18187,983,73
18188,983,49
18189,984,53
18190,985,55
18191,988,74
18192,990,29
18193,991,29
18194,992,29
18195,993,29
18196,995,25
18197,995,75
18198,997,7
18199,997,19
18200,998,76
18201,999,76
18202,1000,76
18203,1001,15
18204,1001,76
18205,1002,77
18206,1003,77
18207,1004,77
18208,1005,77
18209,1005,19
18210,1006,77
18211,1007,77
18212,1008,77
18213,1009,77
18214,1009,19
18215,1010,76
18216,1011,76
18217,1012,76
18218,1013,15
18219,1013,76
18220,1013,13
18221,1013,19
18222,1014,21
18223,1014,10
18224,1015,54
18225,1016,5
18226,1016,65
18227,1017,29
18228,1021,13
18229,1027,7
18230,1027,49
18231,1028,31
18232,1028,54
18233,1034,31
18234,1034,6
18235,1037,42
18236,1040,78
18237,1040,79
18238,1047,31
18239,1051,75
18240,1060,21
18241,1068,4
18242,1069,4
18243,1077,28
18244,1078,28
18245,1079,48
18246,1080,7
18247,1082,7
18248,1083,71
18249,1084,31
18250,1085,70
18251,1091,15
18252,1096,54
18253,1098,15
18254,1099,31
18255,1113,77
18256,1123,7
18257,1129,7
18258,1146,9
18259,1146,10
18260,1150,53
18261,1153,28
18262,1154,21
18263,1155,6
18264,1156,35
18265,1157,31
18266,1160,41
18267,1168,35
18268,1177,80
18269,1183,41
18270,1184,41
18271,1185,9
18272,1185,10
18273,1189,24
18274,1189,22
18275,1199,42
18276,1200,42
18277,1201,15
18278,1201,7
18279,1205,54
18280,1207,54
18281,1210,14
18282,1217,53
18283,1217,81
18284,1218,6
18285,1222,82
18286,1227,58
18287,1229,15
18288,1229,83
18289,1229,19
18290,1230,13
18291,1232,42
18292,1233,15
18293,1233,29
18294,1233,2
18295,1233,19
18296,1234,84
18297,1237,65
18298,1238,7
18299,1238,19
18300,1240,54
18301,1251,21
18302,1251,32
18303,1252,28
18304,1252,33
18305,1253,28
18306,1253,33
18307,1257,85
18308,1258,7
18309,1258,30
18310,1258,9
18311,1258,10
18312,1260,9
18313,1260,30
18314,1260,10
18315,1262,54
18316,1263,54
18317,1266,53
18318,1266,31
18319,1266,55
18320,1268,28
18321,1269,21
18322,1272,86
18323,1273,51
18324,1279,6
18325,1280,19
18326,1282,59
18327,1283,59
18328,1284,59
18329,1285,59
18330,1291,15
18331,1291,30
18332,1299,31
18333,1299,54
18334,1300,54
18335,1301,54
18336,1303,40
18337,1312,28
18338,1313,54
18339,1314,42
18340,1318,42
18341,1320,58
18342,1321,58
18343,1321,57
18344,1322,13
18345,1323,15
18346,1323,7
18347,1323,13
18348,1324,87
18349,1324,14
18350,1328,88
18351,1330,21
18352,1330,7
18353,1340,85
18354,1343,7
18355,1343,19
18356,1348,29
18357,1354,21
18358,1355,6
18359,1360,30
18360,1360,19
18361,1362,59
18362,1363,59
18363,1364,59
18364,1365,59
18365,1366,40
18366,1366,13
18367,1367,30
18368,1372,54
18369,1376,6
18370,1378,30
18371,1387,31
18372,1391,54
18373,1392,6
18374,1397,30
18375,1400,7
18376,1400,19
18377,1400,10
18378,1401,7
18379,1402,9
18380,1402,10
18381,1405,5
18382,1405,1
18383,1430,89
18384,1431,6
18385,1441,31
18386,1442,78
18387,1449,6
18388,1451,31
18389,1453,78
18390,1453,79
18391,1459,78
18392,1461,30
18393,1462,30
18394,1468,26
18395,1469,53
18396,1471,64
18397,1473,90
18398,1473,89
18399,1478,34
18400,1481,36
18401,1485,31
18402,1485,51
18403,1488,25
18404,1494,92
18405,1494,91
18406,1495,92
18407,1498,29
18408,1516,15
18409,1525,7
18410,1525,20
18411,1532,7
18412,1533,7
18413,1534,25
18414,1550,12
18415,1551,31
18416,1551,30
18417,1553,93
18418,1558,28
18419,1561,65
18420,1562,44
18421,1564,41
18422,1566,30
18423,1567,66
18424,1568,13
18425,1574,48
18426,1591,31
18427,1591,34
18428,1595,34
18429,1598,7
18430,1598,63
18431,1598,19
18432,1602,31
18433,1604,31
18434,1606,28
18435,1607,30
18436,1608,21
18437,1612,31
18438,1616,40
18439,1619,75
18440,1632,30
18441,1636,29
18442,1643,29
18443,1645,30
18444,1646,40
18445,1652,35
18446,1654,12
18447,1654,19
18448,1657,29
18449,1657,19
18450,1658,19
18451,1659,19
18452,1662,15
18453,1662,35
18454,1662,34
18455,1663,8
18456,1667,15
18457,1667,45
18458,1671,12
18459,1672,31
18460,1686,35
18461,1687,35
18462,1691,9
18463,1693,31
18464,1694,94
18465,1695,7
18466,1702,55
18467,1703,41
18468,1711,9
18469,1713,4
18470,1722,12
18471,1723,54
18472,1724,9
18473,1724,10
18474,1726,29
18475,1727,45
18476,1727,19
18477,1728,45
18478,1728,19
18479,1740,54
18480,1742,75
18481,1743,21
18482,1745,19
18483,1748,35
18484,1751,28
18485,1752,9
18486,1752,10
18487,1753,75
18488,1787,7
18489,1794,7
18490,1804,31
18491,1804,51
18492,1809,54
18493,1815,4
18494,1825,59
18495,1825,6
18496,1831,24
18497,1831,93
18498,1837,30
18499,1845,7
18500,1848,30
18501,1860,30
18502,1864,4
18503,1864,65
18504,1867,6
18505,1868,6
18506,1869,31
18507,1872,35
18508,1874,6
18509,1874,48
18510,1880,19
18511,1881,54
18512,1882,54
18513,1887,95
18514,1889,60
18515,1896,30
18516,1897,54
18517,1902,26
18518,1906,7
18519,1906,89
18520,1907,54
18521,1908,54
18522,1909,83
18523,1910,30
18524,1911,12
18525,1921,30
18526,1929,19
18527,1936,53
18528,1937,6
18529,1937,46
18530,1939,30
18531,1945,19
18532,1947,7
18533,1947,9
18534,1947,10
18535,1949,33
18536,1951,7
18537,1951,23
18538,1952,24
18539,1961,40
18540,1965,7
18541,1965,9
18542,1965,56
18543,1965,10
18544,1970,31
18545,1972,33
18546,1974,45
18547,1974,29
18548,1977,19
18549,1979,70
18550,1980,78
18551,1980,93
18552,1981,69
18553,1987,54
18554,1989,16
18555,1989,49
18556,1992,53
18557,1993,34
18558,1995,77
18559,1995,19
18560,1996,77
18561,1997,77
18562,1998,29
18563,2000,7
18564,2000,19
18565,2005,7
18566,2005,49
18567,2009,83
18568,2009,19
18569,2011,34
18570,2016,8
18571,2017,96
18572,2018,40
18573,2020,9
18574,2020,10
18575,2021,7
18576,2022,34
18577,2024,34
18578,2027,19
18579,2028,41
18580,2030,97
18581,2030,91
18582,2031,93
18583,2034,30
18584,2035,93
18585,2038,93
18586,2039,13
18587,2040,24
18588,2041,30
18589,2042,7
18590,2042,49
18591,2043,93
18592,2044,31
18593,2046,17
18594,2047,93
18595,2054,98
18596,2055,19
18597,2057,54
18598,2059,31
18599,2059,4
18600,2060,24
18601,2060,28
18602,2062,19
18603,2063,54
18604,2064,53
18605,2066,31
18606,2066,54
18607,2069,44
18608,2070,31
18609,2070,54
18610,2071,90
18611,2071,93
18612,2078,25
18613,2079,30
18614,2082,55
18615,2089,83
18616,2095,17
18617,2096,99
18618,2097,35
18619,2098,41
18620,2099,12
18621,2100,12
18622,2124,64
18623,2124,96
18624,2126,41
18625,2128,5
18626,2130,2
18627,2130,19
18628,2131,97
18629,2135,93
18630,2137,15
18631,2138,31
18632,2143,12
18633,2144,12
18634,2145,30
18635,2145,10
18636,2146,19
18637,2146,98
18638,2147,22
18639,2147,35
18640,2147,37
18641,2148,24
18642,2148,22
18643,2148,35
18644,2148,37
18645,2149,22
18646,2149,37
18647,2150,22
18648,2150,37
18649,2151,22
18650,2151,37
18651,2157,100
18652,2160,7
18653,2160,30
18654,2162,100
18655,2162,2
18656,2162,52
18657,2162,101
18658,2166,7
18659,2166,9
18660,2166,10
18661,2174,102
18662,2176,38
18663,2178,34
18664,2183,49
18665,2187,25
18666,2187,103
18667,2188,102
18668,2189,98
18669,2190,102
18670,2191,59
18671,2199,45
18672,2225,10
18673,2225,9
18674,2225,46
18675,2226,10
18676,2226,9
18677,2226,6
18678,2226,46
18679,2228,103
18680,2229,7
18681,2229,19
18682,2229,98
18683,2230,7
18684,2230,98
18685,2232,19
18686,2233,49
18687,2250,15
18688,2264,20
18689,2265,7
18690,2266,15
18691,2266,7
18692,2270,7
18693,2273,59
18694,2274,31
18695,2276,24
18696,2276,7
18697,2284,104
18698,2306,50
18699,2306,6
18700,2312,103
18701,2312,19
18702,2313,102
18703,2314,102
18704,2315,6
18705,2316,31
18706,2319,103
18707,2320,102
18708,2321,98
18709,2322,105
18710,2322,103
18711,2323,4
18712,2330,44
18713,2334,46
18714,2335,102
18715,2335,25
18716,2335,19
18717,2336,102
18718,2336,25
18719,2337,102
18720,2337,25
18721,2338,102
18722,2338,25
18723,2339,102
18724,2339,25
18725,2340,102
18726,2340,25
18727,2341,102
18728,2341,25
18729,2342,102
18730,2342,25
18731,2342,19
18732,2343,35
18733,2344,35
18734,2345,35
18735,2346,35
18736,2347,35
18737,2348,35
18738,2349,35
18739,2350,35
18740,2359,93
18741,2376,18
18742,2376,17
18743,2380,105
18744,2383,7
18745,2384,31
18746,2386,31
18747,2388,106
18748,2388,19
18749,2391,43
18750,2392,43
18751,2393,43
18752,2396,12
18753,2400,64
18754,2402,102
18755,2403,102
18756,2404,102
18757,2405,102
18758,2406,98
18759,2407,15
18760,2407,102
18761,2407,25
18762,2407,19
18763,2408,15
18764,2408,102
18765,2408,25
18766,2408,19
18767,2409,102
18768,2410,102
18769,2411,102
18770,2412,45
18771,2412,29
18772,2413,15
18773,2413,7
18774,2414,28
18775,2419,15
18776,2419,25
18777,2419,67
18778,2420,102
18779,2421,25
18780,2432,7
18781,2434,19
18782,2435,6
18783,2439,53
18784,2441,104
18785,2442,57
18786,2443,11
18787,2445,53
18788,2445,19
18789,2447,55
18790,2449,1
18791,2451,35
18792,2455,12
18793,2458,12
18794,2465,25
18795,2484,19
18796,2485,82
18797,2488,21
18798,2488,10
18799,2489,7
18800,2490,13
18801,2493,6
18802,2499,102
18803,2502,75
18804,2503,50
18805,2503,14
18806,2509,21
18807,2511,30
18808,2514,31
18809,2516,30
18810,2520,22
18811,2526,106
18812,2527,15
18813,2527,25
18814,2527,19
18815,2529,29
18816,2542,7
18817,2543,19
18818,2546,54
18819,2554,7
18820,2554,41
18821,2554,19
18822,2557,59
18823,2557,6
18824,2562,15
18825,2562,45
18826,2563,55
18827,2565,28
18828,2568,35
18829,2569,31
18830,2571,45
18831,2571,75
18832,2573,30
18833,2583,27
18834,2584,27
18835,2585,27
18836,2586,27
18837,2587,19
18838,2588,93
18839,2590,30
18840,2590,19
18841,2592,12
18842,2600,10
18843,2600,7
18844,2600,25
18845,2600,30
18846,2600,72
18847,2607,49
18848,2609,9
18849,2609,30
18850,2609,10
18851,2610,15
18852,2610,10
18853,2610,19
18854,2612,53
18855,2613,53
18856,2614,53
18857,2616,4
18858,2617,4
18859,2618,31
18860,2618,49
18861,2629,83
18862,2634,87
18863,2638,7
18864,2641,77
18865,2645,72
18866,2649,5
18867,2649,4
18868,2649,65
18869,2650,67
18870,2651,4
18871,2652,4
18872,2653,4
18873,2654,4
18874,2655,4
18875,2656,4
18876,2657,4
18877,2658,4
18878,2659,4
18879,2660,42
18880,2663,19
18881,2670,13
18882,2680,19
18883,2681,9
18884,2681,10
18885,2682,85
18886,2688,35
18887,2691,59
18888,2701,7
18889,2704,5
18890,2704,65
18891,2710,9
18892,2710,10
18893,2713,9
18894,2726,6
18895,2727,9
18896,2727,10
18897,2728,9
18898,2728,10
18899,2731,26
18900,2736,35
18901,2742,57
18902,2743,57
18903,2744,57
18904,2745,57
18905,2746,57
18906,2747,57
18907,2748,57
18908,2749,57
18909,2750,57
18910,2752,57
18911,2753,57
18912,2754,57
18913,2755,57
18914,2755,72
18915,2756,57
18916,2757,57
18917,2758,57
18918,2759,9
18919,2759,10
18920,2760,57
18921,2761,78
18922,2766,4
18923,2770,59
18924,2770,6
18925,2779,102
18926,2781,6
18927,2781,46
18928,2782,19
18929,2785,9
18930,2785,10
18931,2786,6
18932,2787,6
18933,2788,36
18934,2788,6
18935,2789,59
18936,2799,31
18937,2800,107
18938,2800,19
18939,2804,6
18940,2805,4
18941,2805,30
18942,2805,48
18943,2807,31
18944,2808,45
18945,2808,19
18946,2811,19
18947,2812,45
18948,2812,19
18949,2814,15
18950,2820,69
18951,2832,44
18952,2832,91
18953,2833,77
18954,2833,19
18955,2834,77
18956,2835,5
18957,2835,65
18958,2835,108
18959,2836,5
18960,2836,4
18961,2836,65
18962,2837,109
18963,2841,9
18964,2846,92
18965,2847,92
18966,2848,92
18967,2849,92
18968,2850,92
18969,2852,31
18970,2852,35
18971,2853,31
18972,2853,30
18973,2853,10
18974,2856,34
18975,2857,78
18976,2861,35
18977,2865,28
18978,2866,30
18979,2871,82
18980,2871,43
18981,2872,82
18982,2872,43
18983,2873,87
18984,2873,14
18985,2874,30
18986,2875,30
18987,2880,19
18988,2881,92
18989,2882,92
18990,2884,110
18991,2885,28
18992,2887,98
18993,2888,53
18994,2889,102
18995,2892,50
18996,2892,28
18997,2892,63
18998,2897,5
18999,2897,4
19000,2897,65
19001,2898,5
19002,2898,65
19003,2899,5
19004,2899,65
19005,2900,5
19006,2900,65
19007,2918,75
19008,2919,75
19009,2920,75
19010,2926,83
19011,2927,83
19012,2929,83
19013,2930,83
19014,2938,111
19015,2939,84
19016,2942,30
19017,2944,19
19018,2945,19
19019,2947,103
19020,2974,90
19021,2981,15
19022,2981,90
19023,2982,31
19024,2983,31
19025,2984,31
19026,2985,31
19027,2986,31
19028,2987,31
19029,2988,31
19030,2990,51
19031,2995,45
19032,2995,90
19033,2998,67
19034,2999,67
19035,3000,67
19036,3003,82
19037,3004,5
19038,3004,65
19039,3005,59
19040,3008,16
19041,3012,45
19042,3013,15
19043,3013,75
19044,3013,45
19045,3014,5
19046,3014,65
19047,3023,7
19048,3023,19
19049,3027,6
19050,3029,55
19051,3031,104
19052,3032,5
19053,3032,65
19054,3034,5
19055,3034,65
19056,3035,5
19057,3035,4
19058,3035,65
19059,3036,5
19060,3036,65
19061,3037,5
19062,3037,65
19063,3038,5
19064,3038,65
19065,3040,5
19066,3040,65
19067,3041,5
19068,3041,65
19069,3042,5
19070,3042,65
19071,3043,5
19072,3043,65
19073,3048,30
19074,3050,112
19075,3050,113
19076,3055,28
19077,3059,45
19078,3060,62
19079,3061,62
19080,3062,62
19081,3063,62
19082,3064,62
19083,3065,62
19084,3066,5
19085,3066,65
19086,3066,14
19087,3068,75
19088,3069,113
19089,3070,31
19090,3072,4
19091,3073,5
19092,3073,65
19093,3092,5
19094,3092,65
19095,3093,5
19096,3093,65
19097,3095,22
19098,3098,5
19099,3098,65
19100,3099,5
19101,3099,65
19102,3100,15
19103,3122,53
19104,3135,88
19105,3139,30
19106,3144,53
19107,3149,6
19108,3150,12
19109,3151,38
19110,3152,114
19111,3155,7
19112,3155,9
19113,3155,10
19114,3157,5
19115,3157,65
19116,3160,45
19117,3160,15
19118,3160,19
19119,3163,60
19120,3165,92
19121,3169,31
19122,3169,49
19123,3177,71
19124,3186,7
19125,3193,31
19126,3194,31
19127,3195,31
19128,3196,31
19129,3197,31
19130,3198,31
19131,3199,31
19132,3207,2
19133,3207,19
19134,3226,38
19135,3227,51
19136,3232,53
19137,3233,78
19138,3234,19
19139,3239,31
19140,3242,31
19141,3246,115
19142,3249,31
19143,3253,4
19144,3256,40
19145,3260,53
19146,3260,65
19147,3261,28
19148,3263,31
19149,3265,31
19150,3268,24
19151,3268,77
19152,3279,89
19153,3282,6
19154,3284,97
19155,3285,14
19156,3288,31
19157,3289,35
19158,3291,5
19159,3291,65
19160,3291,1
19161,3294,31
19162,3294,56
19163,3294,10
19164,3296,45
19165,3296,12
19166,3296,19
19167,3297,102
19168,3300,7
19169,3300,19
19170,3306,51
19171,3307,44
19172,3307,87
19173,3310,64
19174,3317,31
19175,3317,51
19176,3327,44
19177,3327,91
19178,3328,15
19179,3330,15
19180,3330,19
19181,3332,83
19182,3332,82
19183,3332,43
19184,3333,116
19185,3333,13
19186,3336,35
19187,3407,97
19188,3410,5
19189,3410,65
19190,3420,7
19191,3421,110
19192,3422,110
19193,3424,42
19194,3425,49
19195,3426,40
19196,3428,31
19197,3429,30
19198,3429,48
19199,3432,117
19200,3434,107
19201,3434,19
19202,3435,7
19203,3436,7
20761,7737,30
20762,7738,30
20763,7739,30
20764,7740,30
20765,7741,30
20766,7742,30
20767,7743,30
20768,7744,30
20769,7745,30
20770,7746,30
20771,7747,30
20772,7748,30
20773,7749,30
20774,7766,43
20775,7766,6
20776,7770,67
20777,7771,67
20778,7772,67
20779,7777,42
20780,7777,89
20781,7781,149
20782,7783,50
20783,7783,14
20784,7785,150
